0	38	make this great a few	38	make this great a few 	0	-12.51436	-12.51436	0.00000	5	0.04378	0.04378
1	26	film of excellent quality that	69	          	43	-13.92452	-7.22790	6.69662	0	0.03077	0.16415
2	38	at its best although the	38	at its best although the 	0	-10.06286	-10.06286	0.00000	5	0.08081	0.08081
3	38	what the best of this	38	what the best of this 	0	-6.46919	-6.46919	0.00000	5	0.19843	0.19843
4	38	complete crap poor	41	          	3	-7.21856	-0.45228	6.76628	2	0.16453	0.89309
5	38	for this boring adventure in	66	          	28	-16.93323	-6.77045	10.16278	0	0.01450	0.18404
6	38	is utterly laughable and has	38	is utterly laughable and has 	0	-15.16148	-15.16148	0.00000	5	0.02259	0.02259
7	38	are mainly poor cgi and	62	          	24	-14.35724	-11.31366	3.04358	0	0.02762	0.05911
8	38	earned the best actor oscar	38	earned the best actor oscar 	0	-5.32630	-5.32630	0.00000	5	0.26406	0.26406
9	38	it the best they can	38	it the best they can 	0	-6.24671	-6.24671	0.00000	5	0.20978	0.20978
10	38	out loud funny watching her	38	out loud funny watching her 	0	-11.10909	-11.10909	0.00000	5	0.06221	0.06221
11	5	of the best picture ever	48	          	43	-8.22965	-3.51080	4.71885	0	0.12778	0.41574
12	38	lighting was terrible and i	38	lighting was terrible and i 	0	-10.80299	-10.80299	0.00000	5	0.06716	0.06716
13	38	good product unfortunately he will	38	good product unfortunately he will 	0	-12.67362	-12.67362	0.00000	5	0.04207	0.04207
14	38	she was wasted here one	38	she was wasted here one 	0	-12.46358	-12.46358	0.00000	5	0.04434	0.04434
15	38	scientific arguments avoid this film	38	scientific arguments avoid this film 	0	-5.66982	-5.66982	0.00000	5	0.24233	0.24233
16	38	trying to mess with the	38	trying to mess with the 	0	-9.40709	-9.40709	0.00000	5	0.09520	0.09520
17	38	choppy and annoying he seems	38	choppy and annoying he seems 	0	-10.01992	-10.01992	0.00000	5	0.08168	0.08168
18	38	tries her best it has	38	tries her best it has 	0	-10.50098	-10.50098	0.00000	5	0.07242	0.07242
19	18	even that awful american werewolf	26	it is fun to watch 	8	-13.24917	-4.61448	8.63469	0	0.03643	0.31549
20	38	a truly funny farce like	38	a truly funny farce like 	0	-12.74205	-12.74205	0.00000	5	0.04136	0.04136
21	38	better and best of all	38	better and best of all 	0	-4.80306	-4.80306	0.00000	5	0.30096	0.30096
22	38	thing get worse and worse	38	thing get worse and worse 	0	-11.55649	-11.55649	0.00000	5	0.05563	0.05563
23	38	better and worse because it	38	better and worse because it 	0	-9.34638	-9.34638	0.00000	5	0.09666	0.09666
24	22	from hyper funny to honest	22	from hyper funny to honest 	0	-14.26347	-14.26347	0.00000	5	0.02827	0.02827
25	3	not a great movie in	46	          	43	-7.25177	-2.91053	4.34124	0	0.16317	0.48305
26	38	line unintentionally funny in stead	38	line unintentionally funny in stead 	0	-10.16004	-10.16004	0.00000	5	0.07887	0.07887
27	38	for a solid socially critic	38	for a solid socially critic 	0	-6.13613	-6.13613	0.00000	5	0.21566	0.21566
28	24	not too bad but the	24	not too bad but the 	0	-7.52111	-7.52111	0.00000	5	0.15255	0.15255
29	33	certainly was great in comedy	61	harlow is wonderful in this 	28	-13.75196	-10.11496	3.63700	1	0.03213	0.07976
