0	40	make this great a few	40	make this great a few 	0	-16.40715	-16.40715	0.00000	5	0.01654	0.01654
1	40	film of excellent quality that	40	film of excellent quality that 	0	-11.66288	-11.66288	0.00000	5	0.05417	0.05417
2	44	at its best although the	44	at its best although the 	0	-4.78549	-4.78549	0.00000	5	0.30229	0.30229
3	49	what the best of this	49	what the best of this 	0	-7.69823	-7.69823	0.00000	5	0.14594	0.14594
4	0	complete crap poor	0	          	0	-16.82498	-16.82498	0.00000	2	0.01490	0.01490
5	53	for this boring adventure in	53	for this boring adventure in 	0	-17.91513	-17.91513	0.00000	5	0.01135	0.01135
6	39	is utterly laughable and has	39	is utterly laughable and has 	0	-11.30772	-11.30772	0.00000	5	0.05919	0.05919
7	60	are mainly poor cgi and	60	are mainly poor cgi and 	0	-6.95309	-6.95309	0.00000	5	0.17582	0.17582
8	0	earned the best actor oscar	46	he the best actor oscar 	46	-30.84243	-19.72124	11.12119	4	0.00045	0.00722
9	38	it the best they can	38	it the best they can 	0	-5.44499	-5.44499	0.00000	5	0.25634	0.25634
10	40	out loud funny watching her	40	out loud funny watching her 	0	-3.48958	-3.48958	0.00000	5	0.41795	0.41795
11	41	of the best picture ever	0	          	-41	-7.21116	-3.29654	3.91462	0	0.16484	0.43861
12	40	lighting was terrible and i	40	lighting was terrible and i 	0	-4.02712	-4.02712	0.00000	5	0.36539	0.36539
13	42	good product unfortunately he will	42	good product unfortunately he will 	0	-2.67318	-2.67318	0.00000	5	0.51258	0.51258
14	39	she was wasted here one	39	she was wasted here one 	0	-8.48369	-8.48369	0.00000	5	0.11992	0.11992
15	0	scientific arguments avoid this film	0	          	0	-9.06735	-9.06735	0.00000	2	0.10364	0.10364
16	41	trying to mess with the	41	trying to mess with the 	0	-5.48057	-5.48057	0.00000	5	0.25407	0.25407
17	0	choppy and annoying he seems	40	is and annoying he seems 	40	-23.72993	-20.15837	3.57156	4	0.00265	0.00648
18	40	tries her best it has	0	          	-40	-7.39576	-5.81275	1.58301	0	0.15740	0.23382
19	39	even that awful american werewolf	47	it is fun to watch 	8	-11.33522	-3.62251	7.71271	0	0.05879	0.40429
20	42	a truly funny farce like	42	a truly funny farce like 	0	-5.47421	-5.47421	0.00000	5	0.25448	0.25448
21	38	better and best of all	38	better and best of all 	0	-2.56242	-2.56242	0.00000	5	0.52697	0.52697
22	38	thing get worse and worse	38	thing get worse and worse 	0	-10.76200	-10.76200	0.00000	5	0.06785	0.06785
23	39	better and worse because it	39	better and worse because it 	0	-7.44901	-7.44901	0.00000	5	0.15532	0.15532
